Pos.,Sexe,Nom,freq,permil
850,D,ekaterina,782,0.1
851,D,maria yolanda,781,0.1
852,D,aura,779,0.1
853,D,maria assumpta,778,0.1
854,D,bibiana,777,0.1
855,H,carlos manuel,776,0.1
856,D,benita,775,0.1
856,D,marcelina,775,0.1
858,H,andrea,774,0.1
858,D,mariama,774,0.1
860,D,damaris,771,0.1
861,D,joaquima,770,0.1
862,D,marcela,768,0.1
862,D,maria laura,768,0.1
864,H,ot,764,0.1
865,D,teresa maria,763,0.1
866,D,carmen maria,762,0.1
866,D,iryna,762,0.1
868,H,joan maria,756,0.1
869,D,samara,755,0.1
869,H,soufiane,755,0.1
871,H,joan ramon,754,0.1
872,H,luis enrique,753,0.1
873,H,jose david,752,0.1
874,D,maria ester,751,0.1
874,D,tomasa,751,0.1
876,D,nahia,750,0.1
877,H,luis manuel,748,0.1
878,H,fouad,747,0.1
878,D,maria manuela,747,0.1
880,D,angela maria,746,0.1
880,D,jannat,746,0.1
882,H,abdul,744,0.1
882,D,dana,744,0.1
884,H,juan andres,737,0.09
884,H,juan david,737,0.09
886,H,ander,736,0.09
887,D,leila,735,0.09
888,H,tarik,734,0.09
889,D,mina,733,0.09
889,D,visitacion,733,0.09
891,H,mikel,731,0.09
892,D,bianca,728,0.09
893,H,fabian,727,0.09
893,D,patrocinio,727,0.09
895,H,iago,726,0.09
896,H,emilio jose,725,0.09
896,D,engracia,725,0.09
896,H,noureddine,725,0.09
899,D,aurea,724,0.09
900,H,paul,722,0.09
901,D,fuensanta,720,0.09
902,H,abdellatif,719,0.09
902,D,giulia,719,0.09
904,H,amin,718,0.09
904,H,manuel jesus,718,0.09
906,D,fatna,717,0.09
906,H,faustino,717,0.09
906,D,maria concepcio,717,0.09
906,H,ousmane,717,0.09
910,D,lua,716,0.09
911,H,andrei,714,0.09
912,D,maria blanca,713,0.09
913,H,juan jesus,709,0.09
914,D,habiba,708,0.09
915,H,adan,707,0.09
916,D,carina,704,0.09
916,D,delfina,704,0.09
916,H,francesco,704,0.09
916,H,kamal,704,0.09
916,H,vladimir,704,0.09
921,H,valenti,702,0.09
922,H,alfred,701,0.09
